user_id,track_id,plays
1,6MxGvnJWqdGS0chQypGXhB,7
1,1VKnVxZZnubjTEJG6Tme1y,11
1,3Lu4WAsmpag6CZSN0H3Wor,18
1,64JF6DqxJsGxiyUAhbHX49,8
1,3TjXPh8bOY0K6K5WnReqH8,2
1,1cmEK62km406VcXO88x4Gy,12
1,4FrThBco0jLqXEMULUhSM9,8
1,2gwqNSjWizu6CkIdRaAr6p,1
1,5RZ2onkccYP8RbSamO0hXT,7
1,3aOrdnuVT2mc9I4tYhZCSw,9
1,13dOCMI6S2yLVvmC3CgDW5,9
1,44bOIQWj4jrb5L11ClihCc,2
1,2g1EQO48cbVQy3YEGAe7rS,4
1,7lVrGPpy0wF0l5uUGkm2u6,14
1,5pdr2j2EGUed6kAh3ZmJdC,14
1,6FzHE3kP07aynMjuCIqdb1,8
1,3mhM15Y7CH8QbcAkl4DC9E,9
1,2DiXeuEpop3BfGDGxW8iVz,3
1,7rKT0Jkav0cc9BB1XA3BrB,19
1,5BagMLXQRdSzbzzK5oRwzv,6
1,1dQr0yyC5JEqjhEyA1BtUR,1
1,5w293xv3cYovY8z22bFUjB,18
1,5fSCYh1lTUep7vxSJKKrmp,8
1,5MoDQWMDMaAGDEiWsJfeCi,7
1,3yh868JqnG9MnVbwpyJ2Pc,7
1,4mEqYN7XWHsxutgApicsG4,10
1,2xJcg6YRu6plN23LQhvMP0,4
1,02gfe0xcLymHXarFnaNLnL,18
1,43huEizyHCgjqLxx6D62My,19
1,7cMKz5MoUTPH2N4yqpAUAO,10
1,3hcwsag9pLPp3JUzKeQMk1,19
1,6DaHEkkaHiAhRZVEFZOMJ8,3
1,4fM2DdT03XruTYZfIvALUv,17
1,67z0TkcOGU0hs8yvRevOMV,1
1,3x1goJzS8hkWGVHJnBiBAj,8
1,2cfhFcqpEoM65MNc5cVZse,17
1,2TIw5PyvZZ9N3EzDveEoTi,4
1,6s4xmXtMT7WVbmCTjC48MP,2
1,5nVrrh7PIybgCb7SoM5IZB,17
1,5KAI6nfg3wQRmtwJ0PPaEW,2
1,6uo3lDegnVcEI7uAoYfqAM,1
1,23IJ5wLRhEZ9DOuia5mPiZ,5
1,6C0KJ9MMjL4G3FkkpUSQph,6
1,7M802VXVFDlx35YJi3nF8E,12
1,3SYAtFkdew61hXU32aD2zl,10
1,3EtsTQGKkUXaGDmMi7GRfD,8
1,62LeIJa2w7YeSzfdyosk2k,14
1,0wRsl0wDTmzDky2LsyxEdq,4
1,3JvHEEbo89vp4EJw0PZMPJ,19
1,5wWRdIjndDOh1j4OXAPpdD,5
2,1p3jiW9nv1EAbXe64ZAxwS,10
2,4xtAjzpnkpDUbe8uNdApm9,5
2,0qfsgqyonHi2uusP2jNPwT,4
2,0JWSMYurMhPmlD5H8VRoTn,17
2,7qLXg0KmnkXkdVF6HGH7Kg,2
2,6slRYuwqqRE8PGgiCIB6Qo,17
2,2l3xZiLi7CDNd6hGJKb2ZB,1
2,6ig8PIV9R6kMb6T05FE5EO,18
2,3eQUyz1872GUnrfleEmvAa,17
2,2Iz9iPqFT7gk3ZCkpyyP18,7
2,1kwsUMjFuePZBNB56gQYoA,7
2,6nGhGBz7uaE1RngnIFRKep,5
2,56MZA3YYYizwTSCWVwh68t,6
2,1RsYoEMHQmRgvhtHx9lV3O,19
2,5ydZfP4XcLgy4Wkk0xKXwK,16
2,1nS2gyHrXNqlCM7f1A90Pi,4
2,4JqVgQBE41ruUtb7enQqSv,14
2,55swcR1hqOlJ45RNoamfDH,15
2,1sNuLWB8P61SooM1OgyPYJ,17
2,4A2u7RmGIQk9bjoKExlqj7,8
2,0ldzwWfM7vVxZ9bmxK3Q8m,3
2,4lrKVSLsKc7R8ggs1SX08n,1
2,0mYUlkqXRLYYfiIMEYRuf9,11
2,1UktZnwuS1reRmRtli8QS9,15
2,7tHlEZRloAvK2tIYS6wR1b,17
2,7rHE4PloC8vRDOmbNGOsJV,5
2,1RtoOw5CS2PBcVG8A783Q0,12
2,6hNjGPE8S1No2Evu4aPLjL,14
2,12gIiC7uS9fvSVTvu66YDO,13
2,6n6efRiF8G8IO51hUlSxWN,10
2,1bYFGETEbAge4TDk4Nyq95,6
2,699lx9w3KBNADcEauCQHo2,2
2,65d60rtUV1Et53fnamtLLN,16
2,7tSFbpe1KLESU6k3v2eBPA,5
2,28rMrOeusmuvjDuf6j3Kwg,1
2,4horm0SEWe8kMxFjdf7Aab,13
2,59KUJ2TocepvimrTBUzpBn,8
2,2JvMQAUGqvGIk1uhCqW0Qy,6
2,6xoKWTiw0jVO3IvEKLxMSs,12
2,1yR6ZAG1jdQmlqhs0lbPsu,11
2,76fhsLmTZOY54x9Y2rLC2z,17
2,4blqlsA1uf2d2I40E90EUC,8
2,17SdppTOmKjWU4AEuWor4P,14
2,7v0An99Wk7wYijqYsPXSFw,14
2,13Z3uZXTFpbLBZ8R1rTUKO,1
2,1oeDp1ksbmo6hhBAL9dv3b,19
2,6coErM4CBGW8rsZkK6aDQv,19
2,1YcABWwgkfrOSw8VMgDWZU,5
2,6YY4h2BDXaNVQ5qa7rltUY,17
2,446YddChoGaW3xew9cTX1d,16
3,5OYCHXsuACS1yIWLgxgltY,19
3,7b9IARaKDslL1JMtT7Ovlu,3
3,3ETUBLVvEzgm07QoU4PioV,19
3,4KC2Z9dL4jL61Ys35N6srg,9
3,2iey1UTrhJo7hpsbwPaJk4,16
3,1UEj7RpdqH02grDvdxTKLP,14
3,6BIXRDDnAQxaUM7ZegUUuY,16
3,5ZVpSpHUxEdthsO5UiVQYW,15
3,790v3e8mPU6y3dMTOM1vgq,7
3,0MHvQ4Afst1nRQzrmlMfqP,3
3,4qpQQzdxcu0COepwQJnRxK,12
3,5gk0dcTvWZGg7Tlq8PEfNe,16
3,5S9KnOMLC5vRckzbvzasEs,3
3,22szgJ9WufVHgefSgOD6Dv,19
3,5jkbw3FDS3bSSb4oLKYbjf,19
3,1lnmvZI7tetYRxnrzTh35K,12
3,5EVDHVJTvfCTqYemafJw2K,4
3,5CgkbROq94tTSnXnrfvtGH,7
3,7DZ8n63a46dU6iUyN9OeRl,3
3,3ZZylGjSiEbOuBe34oYTDQ,5
3,6jFrlATJGkOlFCZMgmhwXr,17
3,26ekeYholcU9RYnWtpJfUQ,1
3,18rI489dTiiDiBSWMW0TSu,2
3,2h42lqXCWJLwc7Ru5EE2Va,19
3,0y5EJMV1PE3YPDUWMN314E,19
3,7hpUWaCdqgQJHTVe2hqZob,11
3,2uqUDXhP1CQ8BfKcuk8AV6,1
3,1AQW510iM5rLvcw02pBy30,18
3,7numTQ1FPfAMZec2fLsbuE,9
3,6rv5QNHsRsLQtbbn6nlUsW,18
3,4PdRmauZ4AF8HJiwpMVaXT,10
3,66OgLLSL9JMGKDkz9rsSk0,2
3,1MgE7jscC7apCUlyM3LUdU,13
3,14nJ7PTwypy8fbt7hbfQqB,5
3,4AqCSk70zcUmgxw96Y7q6z,11
3,7eafuv44YprITfOdzfVLoU,4
3,3yDaALsElOu983XRO05HEm,6
3,2pHU8MnJRkDOLqQBgoyOE5,10
3,5sAcIjfZmNEgbseZ1Bpmom,18
3,3khuK9er8MWf0Ok3ubdiqQ,19
3,4KjnysUdHLw9WNDP5A1BCY,8
3,6tm6HhfaqmF1tc29H0Zvmm,13
3,1nS0nyQ29xPUKkaynwqSSI,16
3,7aJDkh2HFAeirsG67P8EkC,14
3,4KKgREGyXwROu1Fz6Eps5U,4
3,5kUVODZumhMwdxteFyFwCk,10
3,3vkx8zeclICui76ccWUzYU,8
3,7nUgqMvj2oBzlsUjwvRVl8,17
3,0XB0QE1KWrZ1Z2RgvoN9XA,16
3,77w1hTaRTLAkShR7LN9Z7h,8
4,6Lh6pfSn9j5u1lpXyXjHL3,2
4,0puCOCSanni13tgXPVq192,15
4,4kZbYkUuDHyphD71bPMYL1,18
4,5BgGaY3yXiyXWVZoAquPEt,6
4,7FbAwfXjDH8bW9rhNARU2E,12
4,2ChIRDmcpyP9F7kit0O73V,6
4,6yz2HojEuzMLx1yJoMYVSH,18
4,3xr8COed4nPPn6XWZ0iCGr,4
4,6tGyLydK5lNXz8Aw44wRj8,10
4,3NGC2t1KnSOFcDQv8EI2Pl,2
4,6cizVFGlltGNLUlNPp0S5T,7
4,0Z9UkcT1pnrmLciUJPcMMS,1
4,7fyiYhn7STpHvT5g0lbncC,18
4,0TK2YIli7K1leLovkQiNik,18
4,3KmlvEQ4drHLcJinD0dnmX,5
4,4yq61v0vaI2MpifznBCpBh,9
4,0BAvfy66AgcVs6PKbIumEp,14
4,0maSUktGFelOHPjTP8c1Kd,19
4,60ifqqPhbselSwXyGrGyMK,19
4,4WxB3DitRDB6LUaofMZXOj,9
4,5208LKuihL0farASiFLxEl,6
4,5DG4dGVLEmul9xSv7mEun6,13
4,5n6J4TCSoFs72V3z9SAJDv,3
4,3JbIyrSNumxS5LHpAvLYF5,10
4,0tpwqQhdfJXRcUDSNRjb9O,18
4,3XhEYvZyeGjrvJWYu0ff38,4
