track_id,artists,track_name,popularity,duration_ms,explicit,danceability,energy
5SuOikwiRyPMVoIQDJUgSV,Gen Hoshino,Comedy,73,230666,False,0.676,0.461
4qPNDBW1i3p13qLCt0Ki3A,Ben Woodward,Ghost - Acoustic,55,149610,False,0.42,0.166
1iJBSr7s7jYXzM8EGcbK5b,Ingrid Michaelson;ZAYN,To Begin Again,57,210826,False,0.438,0.359
6lfxq3CG4xtTiEg7opyCyx,Kina Grannis,Can't Help Falling In Love,71,201933,False,0.266,0.0596
5vjLSffimiIP26QG5WcN2K,Chord Overstreet,Hold On,82,198853,False,0.618,0.443
01MVOl9KtVTNfFiBU9I7dc,Tyrone Wells,Days I Will Remember,58,214240,False,0.688,0.481
6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World;Christina Aguilera,Say Something,74,229400,False,0.407,0.147
1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,I'm Yours,80,242946,False,0.703,0.444
0IktbUcnAGrvD03AWnz3Q8,Jason Mraz;Colbie Caillat,Lucky,74,189613,False,0.625,0.414
7k9GuJYLp2AzqokyEdwEw2,Ross Copperman,Hunger,56,205594,False,0.442,0.632
4mzP5mHkRvGxdhdGdAH7EJ,Zack Tabudlo,Give Me Your Forever,74,244800,False,0.627,0.363
5ivF4eQBqJiVL5IAE9jRyl,Jason Mraz,I Won't Give Up,69,240165,False,0.483,0.303
4ptDJbJl35d7gQfeNteBwp,Dan Berk,Solo,52,198712,False,0.489,0.314
0X9MxHR1rTkEHDjp95F2OO,Anna Hamilton,Bad Liar,62,248448,False,0.691,0.234
4LbWtBkN82ZRhz9jqzgrb3,Chord Overstreet;Deepend,Hold On - Remix,56,188133,False,0.755,0.78
1KHdq8NK9QxnGjdXb55NiG,Landon Pigg,Falling in Love at a Coffee Shop,58,244986,False,0.489,0.561
6xKeQgzfjixSUld14qUezm,Andrew Foy;Renee Foy,ily (i love you baby),56,129750,False,0.706,0.112
4Yo0igmcoNyat1secaH0OD,Andrew Foy;Renee Foy,At My Worst,54,169728,False,0.795,0.0841
2qLMf6TuEC3ruGJg4SMMN6,Jason Mraz;Colbie Caillat,Lucky,68,189613,False,0.625,0.414
6CgNoAbFJ4Q4Id4EjtbXlC,Boyce Avenue;Bea Miller,Photograph,67,260186,False,0.717,0.32
3S0OXQeoh0w6AY8WQVckRW,Jason Mraz,I'm Yours,75,242946,False,0.703,0.444
210JCw2LbYD4YIs8GiZ9iP,Boyce Avenue;Jennel Garcia,Demons,63,174174,False,0.678,0.351
5TvE3pk05pyFIGdSY9j4DJ,A Great Big World;Christina Aguilera,Say Something,70,229400,False,0.407,0.147
0BUuuEvNa5T4lMaewyiudB,Jason Mraz,93 Million Miles,0,216386,False,0.572,0.454
3Hn3LfhrQOaKihdCibJsTs,Jason Mraz,Unlonely,0,231266,False,0.796,0.667
6D33wCKzWtNEgOovgeVJ7r,Jason Mraz,Bella Luna,1,302346,False,0.755,0.454
5IfCZDRXZrqZSm8AwE44PG,Jason Mraz,Winter Wonderland,0,131760,False,0.62,0.309
0dzKBptH2P5j5a0MifBMwM,Jason Mraz,If It Kills Me,0,273653,False,0.633,0.429
5QAMZTM5cmLg3fHX9ZbTZi,Jason Mraz,Winter Wonderland,0,131760,False,0.62,0.309
2qESE1ZeWly7I3YjyTXmXh,Jason Mraz,Winter Wonderland,0,131760,False,0.62,0.309
3EQV1ZHtHvq9OnVRYIdbg3,Jason Mraz,Winter Wonderland,0,131760,False,0.62,0.309
3ax0rfGb7exLtl02LL08U9,Jason Mraz,Winter Wonderland,0,131760,False,0.62,0.309
1m5LC29RE52Bxy7hxvpOlL,Chord Overstreet,All I Want For Christmas Is A Real Good Tan,0,234186,False,0.593,0.455
3H36x7buZdQD4687VmFrwY,Brandi Carlile;Sam Smith,Party of One,0,259558,False,0.296,0.206
0xbMRcMFqxJq1Wa7tvWPtn,Brandi Carlile;Sam Smith,Party of One,0,259558,False,0.296,0.206
6h061f44HZPj1OXO2nA45d,Brandi Carlile;Sam Smith,Party of One,0,259558,False,0.296,0.206
62EwQLDw0dprDzuLwQ0sH1,KT Tunstall,Lonely This Christmas,0,257493,False,0.409,0.153
3lvo0I8c2qBJDLZWqExDgC,Brandi Carlile,Throwing Good After Bad,0,247791,False,0.501,0.0952
1ae8XfBQ3fDEvmBjFaemGV,Brandi Carlile,This Time Tomorrow,0,206267,False,0.606,0.326
0adVktNVJXPZfhQe6B1NO5,KT Tunstall,Lonely This Christmas,0,257493,False,0.409,0.153
6sp6Vx3sv2l5qxPfbQkcyt,Eddie Vedder,The Haves,0,306794,False,0.474,0.519
1WFVfVjCtbmdIv7j3Fa9iy,Brandi Carlile,When You're Wrong,0,266960,False,0.568,0.301
0e5PAxSyZ5DWWVqKANHETz,Brandi Carlile;Lucius,You and Me on the Rock,0,230098,False,0.568,0.686
1MLr9b1fOybO3MGiLy47Ys,Brandi Carlile;Lucius,You and Me on the Rock,0,230098,False,0.568,0.686
6JGjevTaqr9J1xp7YvYUKF,Brandi Carlile,"Speak Your Mind (From the Netflix Series ""We The People"")",0,193943,False,0.476,0.666
7Af2YlwMZryKOQiRfwMsD2,Brandi Carlile;Lucius,You and Me on the Rock,0,230098,False,0.568,0.686
3RE5nHIVkC4KcA7snFaTKd,Brandi Carlile;Lucius,You and Me on the Rock,0,230098,False,0.568,0.686
0JvkNRyq8Tmot9khpdtN0I,Brandi Carlile;Lucius,You and Me on the Rock,0,230098,False,0.568,0.686
27gHtbsHClwimHFtKgFop4,Brandi Carlile;Lucius,You and Me on the Rock,0,230098,False,0.568,0.686
1QBNBGeIRRGBnLhdlHbfI8,Brandi Carlile;Lucius,You and Me on the Rock,0,230098,False,0.568,0.686
72xTsTouZ5nBmASX8k1XCW,Highland Peak,Trampoline - Acoustic,46,213098,False,0.596,0.2
3ILmwMefYZoQh5Cf5jeuUQ,Motohiro Hata,透明だった世界,61,232360,False,0.373,0.914
2DHDuADAHoUW6n0z80RLQF,Andrew Belle,Pieces,60,241119,False,0.494,0.652
5JDcQAztvZTIkrWoZihgvC,Ron Pope,A Drop in the Ocean,68,220239,False,0.447,0.393
2sYFi9xVSZ56WHKSY2fN1K,Adam Christopher,So Far Away - Acoustic,52,171543,False,0.576,0.331
6xJOhSm4SvZwzy3uhWz26O,Andrew Belle,The Enemy,62,286865,False,0.536,0.89
7lLKxcNeJtDTWVRKHovLEC,Aron Wright,Build It Better,51,234473,False,0.526,0.333
25UzeaV47eDT44Fovve6xQ,Chord Overstreet,Sleepwalking in the Rain,0,216000,False,0.501,0.381
4oa14QBfWRDfJy2agySy0L,Sara Bareilles,Gravity,67,232760,False,0.27,0.275
2gRKq9rIC5i1zuxp06zJWH,Chord Overstreet,What's Left of You,57,178600,True,0.731,0.507
08MFgEQeVLF37EyZ7jcwLc,Zack Tabudlo,Pano,75,254400,False,0.375,0.457
6nXIYClvJAfi6ujLiKqEq8,Andrew Belle,Sky's Still Blue,62,244320,False,0.43,0.791
7x4b0UccXSKBWxWmjcrG2T,Kurt Cobain,And I Love Her,66,124933,False,0.616,0.282
6owKuyHxUqidcAA6fPKSyy,Boyce Avenue;Bea Miller,We Can't Stop,64,222146,False,0.705,0.347
0wbmIfvndFV9VDvuUY1pYN,Tim Halperin,Always Be My Baby,62,181852,False,0.582,0.255
3e5yu9MkIvQx17mm7LF6KY,Canyon City,Alone with You,58,186584,False,0.549,0.274
6VwAh8Z1d5YKoSWoEaV4db,Aaron Espe,Making All Things New,65,159600,False,0.787,0.355
2D4BSm5Z8Hq5zYbSgJwEOh,Sara Bareilles,She Used To Be Mine,67,250266,False,0.397,0.303
7LwGBxB0h0CVmkOZxYKn0g,Andrew Belle,In My Veins - Feat. Erin Mccarley,65,318908,False,0.548,0.42
0ZwdH0m32I8odedwvspYTh,Tyler Ward,I Don't Wanna Live Forever (Fifty Shades Darker),44,222351,False,0.787,0.403
16dkWKIlBsfYTISCVuDs0w,Ron Pope,A Drop In the Ocean,55,219480,False,0.484,0.573
3TwtrR1yNLY1PMPsrGQpOp,Five For Fighting,Superman (It's Not Easy),70,221693,False,0.382,0.416
3Et4LKZLnXygPYfNdeB3D3,Andrew Belle,When the End Comes,57,354400,False,0.541,0.575
2E9viCx0hJKNKNThd2MdGQ,Bailey Jehl,You're Still The One,56,177500,False,0.607,0.473
0Zf1BPkkFAWGtVHeBwHHz4,Ingrid Michaelson,Light Me Up,56,247840,False,0.417,0.595
38jy6kRlPt8z1GUS9WXeNh,Jason Mraz,93 Million Miles,67,216386,False,0.572,0.454
2SkJKMfjpYsNv0KWOxiegX,A Great Big World,Kaleidoscope,62,229320,False,0.709,0.913
4qCbMMMuEB56kHd4zPE6GD,Eddie Vedder;Nusrat Fateh Ali Khan,The Long Road,45,330933,False,0.537,0.342
11TK5KLtLZUdKr1C549bAw,Drew Holcomb & The Neighbors,What Would I Do Without You,64,172213,False,0.602,0.336
7BXW1QCg56yzEBV8pW8pah,Jason Mraz,Have It All,65,226106,False,0.643,0.638
2kMrCPZ0o5gErBPLCRgoli,Gabrielle Aplin,Heavy Heart,0,235173,False,0.451,0.7
5IjTZ1g8KrIuV97N3OQZ0V,Gabrielle Aplin,The House We Never Built,0,195213,False,0.546,0.391
3bHhUEOTIbezeZ856R0BX5,Eddie Vedder,Society,68,236306,False,0.561,0.327
0wf17wsLRwnnfh241GkeH5,Gabrielle Aplin,Please Don't Say You Love Me,0,181400,False,0.479,0.541
3322ArxAq7wCSZI4fF77Q0,Gabrielle Aplin,Please Don't Say You Love Me,0,181400,False,0.479,0.541
4LGF2tDg3878bs0mQPByZ4,Eddie Vedder,Guaranteed,61,164500,False,0.436,0.4
6Uy6K3KdmUdAfelUp0SeXn,Sara Bareilles,Brave,70,220573,False,0.551,0.836
2z2JKNU24UEngb4joR9p8f,KT Tunstall,Lonely This Christmas,0,257493,False,0.409,0.153
2nef44o0sjJDKB1ta4S0ub,KT Tunstall,Lonely This Christmas,0,257493,False,0.409,0.153
0qJGlogD7AyMLAJfQ42aI2,Five For Fighting,Heaven Knows,62,210612,False,0.6,0.845
04JS6OitE9VGsIS3S94Osg,The Civil Wars,I Heard The Bells On Christmas Day,0,154440,False,0.492,0.145
5OGpsZeJRZ3t3MZioawcZW,The Civil Wars,I Heard The Bells On Christmas Day,0,154440,False,0.492,0.145
3Vnes7v746dYzBn0FJTZ1W,KT Tunstall,Fairytale Of New York,0,263866,False,0.447,0.555
30cYWLpVdBZVLb1cYdmcTT,The Civil Wars,I Heard The Bells On Christmas Day,0,154440,False,0.492,0.145
7sUqJ51FGSi3n7x4pYjY3v,The Civil Wars,I Heard The Bells On Christmas Day,0,154440,False,0.492,0.145
15BFn2VmEtonsXfNL1lUmy,The Civil Wars,I Heard The Bells On Christmas Day,0,154440,False,0.492,0.145
0WOFJR54wyTwLB11jcBDb1,The Civil Wars,I Heard The Bells On Christmas Day,0,154440,False,0.492,0.145
1uDCw6LVMOmbZ6zRliNcNX,The Civil Wars,I Heard The Bells On Christmas Day,0,154440,False,0.492,0.145
7DYsBLdOqz0z14tYWMt2Tn,KT Tunstall,Hold On,0,177613,False,0.661,0.937
7cPuE0M35EajWPRO3nRcH8,KT Tunstall,Suddenly I See,0,199040,False,0.603,0.78
0U32q8CZRRo7xCzyiaZw5f,Motohiro Hata,Rain,58,293040,False,0.626,0.655
4kQXMVjoZ9yMibLZq5Aqi5,Callum J Wright,Somebody Else - Acoustic,50,138495,False,0.794,0.38
3us8sod4dLbM9FiMiPiEY8,Andrew Belle,Pieces (Hushed),59,198626,False,0.52,0.279
1PR5pyPiOEEQ02oJYq402x,Boyce Avenue;Fifth Harmony,Mirrors,57,292566,False,0.545,0.658
068qo0w1Ki0cjnFYOUhAm2,Boyce Avenue,Stand by Me,60,199019,False,0.728,0.266
2RFt6ZWQbr9mPhsft9u9eX,Gabrielle Aplin;JP Cooper,Losing Me,61,181760,False,0.66,0.407
59pUIlXjQupbiYwt40uUTi,Mone Kamishiraishi,なんでもないや - movie ver.,49,349920,False,0.357,0.161
0VhZ5JYfqPojSYeGWnk4dL,John Adams,You’re Beautiful - Acoustic,55,204973,False,0.479,0.154
0ltIx8PLjtWoS9zn9PqsZW,Kitri,Hikare Inochi,51,322146,False,0.592,0.769
